時間,電壓,電流,SOC,Temp Max,Temp Min,CellV Max,CellV Min,CHG_Current,DSG_Current,Basic_Status0,Basic_Status1,Basic_Status2,ExtendedStatus,SOCStatus,ErrorCode,Relay/Mos,Cycle,FW Version
"2025-01-14T01:11:07Z
","50.84 V
","71.83 A
","33 %
","32.8 C
","14.7 C
","3.491 V
","3.366 V
","71.83 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:08Z
","50.85 V
","71.84 A
","33 %
","32.8 C
","14.7 C
","3.491 V
","3.366 V
","71.84 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:08Z
","50.85 V
","71.84 A
","33 %
","32.8 C
","14.7 C
","3.491 V
","3.366 V
","71.84 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:09Z
","50.85 V
","71.84 A
","33 %
","32.8 C
","14.7 C
","3.491 V
","3.367 V
","71.84 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:10Z
","50.84 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.491 V
","3.367 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:10Z
","50.84 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.491 V
","3.367 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:11Z
","50.84 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.492 V
","3.368 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:11Z
","50.84 V
","71.97 A
","33 %
","32.8 C
","14.7 C
","3.492 V
","3.368 V
","71.97 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:12Z
","50.84 V
","71.89 A
","33 %
","32.8 C
","14.7 C
","3.492 V
","3.368 V
","71.89 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
"2025-01-14T01:11:12Z
","50.84 V
","71.89 A
","33 %
","32.8 C
","14.7 C
","3.492 V
","3.368 V
","71.89 A
","-1.96 A
","0
","0
","0
","0
","1
","0
","5
","7
","4660
"
