date,time,Lift Fork Goal(mm),Current Height(mm),other info,action end state
W0115,11:55:51.686235,2000,-10," Lift Fork Not Working, lift_fork_not_working_count  > 101
 Current : -10.3726 mm. Goal : 2000 mm. Stop Fork. 
"," Lift Fork Action Aborted !
"
W0115,11:56:59.513653,2000,-10," Lift Sensor Disconnect, sensor_disconnect_count  > 10
 Current : -10.4065 mm. Goal : 2000 mm. Stop Fork. 
"," Lift Fork Action Aborted !
"
W0115,11:58:04.973434,2000,-10," Lift Fork Not Working, lift_fork_not_working_count  > 101
 Current : -10.3726 mm. Goal : 2000 mm. Stop Fork. 
"," Lift Fork Action Aborted !
"
W0115,13:11:23.111459,2000,-10," Lift Fork Not Working, lift_fork_not_working_count  > 101
 Current : -10.4742 mm. Goal : 2000 mm. Stop Fork. 
"," Lift Fork Action Aborted !
"
W0115,13:19:35.537062,2000,-10,," Lift Fork Action Succeeded !
"
W0115,13:19:41.650738,450,2009,," Lift Fork Action Succeeded !
"
W0115,13:21:05.851927,2000,451,," Lift Fork Action Succeeded !
"
W0115,13:21:10.853682,450,2006,," Lift Fork Action Succeeded !
"
W0115,13:28:24.344954,2000,439,," Lift Fork Action Succeeded !
"
W0115,13:28:29.311403,450,2003,," Lift Fork Action Succeeded !
"
W0115,13:33:12.460263,2000,450,," Lift Fork Action Succeeded !
"
W0115,13:33:17.522239,450,2010,," Lift Fork Action Succeeded !
"
W0115,13:34:14.677696,2000,444,," Lift Fork Action Succeeded !
"
W0115,13:34:19.680353,450,2005,," Lift Fork Action Succeeded !
"
W0115,13:39:02.847967,2000,449,," Lift Fork Action Succeeded !
"
W0115,13:39:07.820034,450,2003,," Lift Fork Action Succeeded !
"
W0115,13:40:04.857193,2000,443,," Lift Fork Action Succeeded !
"
W0115,13:40:09.881208,450,2007,," Lift Fork Action Succeeded !
"
W0115,14:42:21.320422,2000,589,," Lift Fork Action Succeeded !
"
W0115,14:42:26.322324,450,2007,," Lift Fork Action Succeeded !
"
W0115,14:43:23.456410,2000,444,," Lift Fork Action Succeeded !
"
W0115,14:43:29.053073,450,2008,," Lift Fork Action Succeeded !
"
W0115,14:44:28.891960,2000,440,," Lift Fork Action Succeeded !
"
W0115,14:44:34.284377,450,2007,," Lift Fork Action Succeeded !
"
W0115,14:45:31.389040,2000,446,," Lift Fork Action Succeeded !
"
W0115,14:45:36.926838,450,2007,," Lift Fork Action Succeeded !
"
W0115,14:46:36.977491,2000,440,," Lift Fork Action Succeeded !
"
W0115,14:46:42.366254,450,2010,," Lift Fork Action Succeeded !
"
W0115,14:47:38.984001,2000,443,," Lift Fork Action Succeeded !
"
W0115,14:47:44.400766,450,2011,," Lift Fork Action Succeeded !
"
W0115,14:48:44.044548,2000,442,," Lift Fork Action Succeeded !
"
W0115,14:48:49.672220,450,2009,," Lift Fork Action Succeeded !
"
W0115,14:49:46.755266,2000,445,," Lift Fork Action Succeeded !
"
W0115,14:49:52.443300,450,2008,," Lift Fork Action Succeeded !
"
W0115,14:50:52.347818,2000,448,," Lift Fork Action Succeeded !
"
W0115,14:50:57.739003,450,2008,," Lift Fork Action Succeeded !
"
W0115,14:51:54.464833,2000,448,," Lift Fork Action Succeeded !
"
W0115,14:52:00.094398,450,2008,," Lift Fork Action Succeeded !
"
W0115,14:52:59.503214,2000,443,," Lift Fork Action Succeeded !
"
W0115,14:53:05.168762,450,2009,," Lift Fork Action Succeeded !
"
W0115,14:54:02.177335,2000,442,," Lift Fork Action Succeeded !
"
W0115,14:54:07.599316,450,2009,," Lift Fork Action Succeeded !
"
W0115,14:55:07.011829,2000,454,," Lift Fork Action Succeeded !
"
W0115,14:55:12.371100,450,2004,," Lift Fork Action Succeeded !
"
W0115,14:56:09.468724,2000,448,," Lift Fork Action Succeeded !
"
W0115,14:56:15.041682,450,2007,," Lift Fork Action Succeeded !
"
W0115,14:57:14.372052,2000,451,," Lift Fork Action Succeeded !
"
W0115,14:57:19.786553,450,2009,," Lift Fork Action Succeeded !
"
W0115,14:58:16.612272,2000,453,," Lift Fork Action Succeeded !
"
W0115,14:58:22.033643,450,2009,," Lift Fork Action Succeeded !
"
W0115,14:59:21.391616,2000,445,," Lift Fork Action Succeeded !
"
W0115,14:59:27.084082,450,2008,," Lift Fork Action Succeeded !
"
W0115,15:00:23.773833,2000,447,," Lift Fork Action Succeeded !
"
W0115,15:00:29.432368,450,2008,," Lift Fork Action Succeeded !
"
W0115,15:01:28.966037,2000,452,," Lift Fork Action Succeeded !
"
W0115,15:01:34.416154,450,2005,," Lift Fork Action Succeeded !
"
W0115,15:02:30.910220,2000,453,," Lift Fork Action Succeeded !
"
W0115,15:02:36.333009,450,2006,," Lift Fork Action Succeeded !
"
W0115,15:03:35.699214,2000,446,," Lift Fork Action Succeeded !
"
W0115,15:03:41.147012,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:04:38.029908,2000,444,," Lift Fork Action Succeeded !
"
W0115,15:04:43.506165,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:05:43.298281,2000,449,," Lift Fork Action Succeeded !
"
W0115,15:05:48.752703,450,2005,," Lift Fork Action Succeeded !
"
W0115,15:06:45.607856,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:06:51.029915,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:07:50.398893,2000,455,," Lift Fork Action Succeeded !
"
W0115,15:07:55.848165,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:08:52.810829,2000,448,," Lift Fork Action Succeeded !
"
W0115,15:08:58.257676,450,2006,," Lift Fork Action Succeeded !
"
W0115,15:09:57.768405,2000,454,," Lift Fork Action Succeeded !
"
W0115,15:10:03.183552,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:11:00.160029,2000,450,," Lift Fork Action Succeeded !
"
W0115,15:11:05.639554,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:12:04.943639,2000,441,," Lift Fork Action Succeeded !
"
W0115,15:12:10.693451,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:13:07.384145,2000,442,," Lift Fork Action Succeeded !
"
W0115,15:13:12.918426,450,2009,," Lift Fork Action Succeeded !
"
W0115,15:14:12.331214,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:14:17.871968,450,2008,," Lift Fork Action Succeeded !
"
W0115,15:15:14.549229,2000,440,," Lift Fork Action Succeeded !
"
W0115,15:15:20.297712,450,2006,," Lift Fork Action Succeeded !
"
W0115,15:16:19.628677,2000,443,," Lift Fork Action Succeeded !
"
W0115,15:16:25.140174,450,2002,," Lift Fork Action Succeeded !
"
W0115,15:17:21.981024,2000,440,," Lift Fork Action Succeeded !
"
W0115,15:17:27.610888,450,2009,," Lift Fork Action Succeeded !
"
W0115,15:18:27.397292,2000,436,," Lift Fork Action Succeeded !
"
W0115,15:18:32.965667,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:19:29.830359,2000,442,," Lift Fork Action Succeeded !
"
W0115,15:19:35.402953,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:20:34.866957,2000,442,," Lift Fork Action Succeeded !
"
W0115,15:20:40.467964,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:21:36.800642,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:21:42.368693,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:22:41.410466,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:22:46.978405,450,2006,," Lift Fork Action Succeeded !
"
W0115,15:23:43.506614,2000,447,," Lift Fork Action Succeeded !
"
W0115,15:23:49.072736,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:24:48.317178,2000,455,," Lift Fork Action Succeeded !
"
W0115,15:24:53.885118,450,2006,," Lift Fork Action Succeeded !
"
W0115,15:25:50.919133,2000,452,," Lift Fork Action Succeeded !
"
W0115,15:25:56.458117,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:26:55.605974,2000,450,," Lift Fork Action Succeeded !
"
W0115,15:27:01.173113,450,2002,," Lift Fork Action Succeeded !
"
W0115,15:27:57.917366,2000,449,," Lift Fork Action Succeeded !
"
W0115,15:28:03.485396,450,2003,," Lift Fork Action Succeeded !
"
W0115,15:29:02.718863,2000,451,," Lift Fork Action Succeeded !
"
W0115,15:29:08.318511,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:30:05.272293,2000,448,," Lift Fork Action Succeeded !
"
W0115,15:30:10.846848,450,2002,," Lift Fork Action Succeeded !
"
W0115,15:31:10.155879,2000,455,," Lift Fork Action Succeeded !
"
W0115,15:31:15.756340,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:32:12.306666,2000,451,," Lift Fork Action Succeeded !
"
W0115,15:32:17.907119,450,2006,," Lift Fork Action Succeeded !
"
W0115,15:33:17.144419,2000,448,," Lift Fork Action Succeeded !
"
W0115,15:33:22.743891,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:34:19.336210,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:34:24.967854,450,2003,," Lift Fork Action Succeeded !
"
W0115,15:35:24.331521,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:35:29.927203,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:36:26.267089,2000,440,," Lift Fork Action Succeeded !
"
W0115,15:36:31.900045,450,1998,," Lift Fork Action Succeeded !
"
W0115,15:37:30.766299,2000,449,," Lift Fork Action Succeeded !
"
W0115,15:37:36.396696,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:38:33.081789,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:38:38.746027,450,2000,," Lift Fork Action Succeeded !
"
W0115,15:39:38.088845,2000,441,," Lift Fork Action Succeeded !
"
W0115,15:39:43.716100,450,2003,," Lift Fork Action Succeeded !
"
W0115,15:40:40.317601,2000,440,," Lift Fork Action Succeeded !
"
W0115,15:40:46.011749,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:41:44.904219,2000,453,," Lift Fork Action Succeeded !
"
W0115,15:41:50.595220,450,2007,," Lift Fork Action Succeeded !
"
W0115,15:42:47.256577,2000,445,," Lift Fork Action Succeeded !
"
W0115,15:42:52.942449,450,2003,," Lift Fork Action Succeeded !
"
W0115,15:43:52.168115,2000,440,," Lift Fork Action Succeeded !
"
W0115,15:43:57.828169,450,2000,," Lift Fork Action Succeeded !
"
W0115,15:44:54.203719,2000,447,," Lift Fork Action Succeeded !
"
W0115,15:44:59.859787,450,2004,," Lift Fork Action Succeeded !
"
W0115,15:45:59.010623,2000,452,," Lift Fork Action Succeeded !
"
W0115,15:46:04.635762,450,1997,," Lift Fork Action Succeeded !
"
W0115,15:47:01.004393,2000,439,," Lift Fork Action Succeeded !
"
W0115,15:47:06.661409,450,2000,," Lift Fork Action Succeeded !
"
W0115,15:48:05.756973,2000,439,," Lift Fork Action Succeeded !
"
W0115,15:48:11.445274,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:49:07.914278,2000,441,," Lift Fork Action Succeeded !
"
W0115,15:49:13.632289,450,2001,," Lift Fork Action Succeeded !
"
W0115,15:50:12.799537,2000,440,," Lift Fork Action Succeeded !
"
W0115,15:50:18.494328,450,2003,," Lift Fork Action Succeeded !
"
